Year,Day,Hour,Minute,Bx GSE-GSM(nT)
2021,2,18,50,0.87
2021,2,18,55,0.29
2021,2,19,0,0.76
2021,2,19,5,0.96
2021,2,19,10,1.35
2021,2,19,15,1.37
2021,2,19,20,1.44
2021,2,19,25,1.46
2021,2,19,30,1.70
2021,2,19,35,1.41
2021,2,19,40,1.07
2021,2,19,45,1.01
2021,2,19,50,0.77
2021,2,19,55,0.12
2021,2,20,0,1.11
2021,2,20,5,0.98
2021,2,20,10,1.26
2021,2,20,15,0.46
2021,2,20,20,0.76
2021,2,20,25,0.85
2021,2,20,30,1.55
2021,2,20,35,2.33
2021,2,20,40,2.19
2021,2,20,45,0.76
2021,2,20,50,0.14
2021,2,20,55,0.02
2021,2,21,0,1.13
2021,2,21,5,0.50
2021,2,21,10,1.13
2021,2,21,15,1.10
2021,2,21,20,1.18
2021,2,21,25,1.77
2021,2,21,30,1.84
2021,2,21,35,2.19
2021,2,21,40,2.46
2021,2,21,45,2.64
2021,2,21,50,2.62
2021,2,21,55,2.49
2021,2,22,0,2.11
2021,2,22,5,1.74
2021,2,22,10,2.14
2021,2,22,15,2.78
2021,2,22,20,2.63
2021,2,22,25,2.35
2021,2,22,30,2.19
2021,2,22,35,1.80
2021,2,22,40,2.13
2021,2,22,45,2.00
2021,2,22,50,2.26
2021,2,22,55,2.52
2021,2,23,0,1.58
2021,2,23,5,1.47
2021,2,23,10,1.86
2021,2,23,15,2.25
2021,2,23,20,1.92
2021,2,23,25,2.63
2021,2,23,30,2.40
2021,2,23,35,2.11
2021,2,23,40,2.16
2021,2,23,45,2.35
2021,2,23,50,2.93
2021,2,23,55,2.70
2021,3,0,0,2.30
2021,3,0,5,2.45
2021,3,0,10,2.55
2021,3,0,15,2.44
2021,3,0,20,1.93
2021,3,0,25,1.78
2021,3,0,30,2.39
2021,3,0,35,1.87
2021,3,0,40,2.07
2021,3,0,45,1.12
2021,3,0,50,0.63
2021,3,0,55,-0.09
2021,3,1,0,1.56
2021,3,1,5,1.47
2021,3,1,10,1.74
2021,3,1,15,0.72
2021,3,1,20,0.84
2021,3,1,25,1.37
2021,3,1,30,0.86
2021,3,1,35,0.43
2021,3,1,40,0.69
2021,3,1,45,1.15
2021,3,1,50,1.27
2021,3,1,55,1.19
2021,3,2,0,1.35
2021,3,2,5,1.41
2021,3,2,10,1.40
2021,3,2,15,1.17
2021,3,2,20,0.19
2021,3,2,25,1.57
2021,3,2,30,1.54
2021,3,2,35,1.33
2021,3,2,40,1.50
2021,3,2,45,1.44
2021,3,2,50,1.30
2021,3,2,55,1.82
2021,3,3,0,2.01
2021,3,3,5,2.09
2021,3,3,10,2.02
2021,3,3,15,1.90
2021,3,3,20,2.05
2021,3,3,25,2.21
2021,3,3,30,2.22
2021,3,3,35,2.24
2021,3,3,40,2.36
2021,3,3,45,2.49
2021,3,3,50,2.38
2021,3,3,55,2.36
2021,3,4,0,2.40
2021,3,4,5,2.44
2021,3,4,10,2.49
2021,3,4,15,2.52
2021,3,4,20,2.57
2021,3,4,25,2.64
2021,3,4,30,2.75
2021,3,4,35,2.76
2021,3,4,40,2.82
2021,3,4,45,2.92
2021,3,4,50,2.81
2021,3,4,55,2.82
2021,3,5,0,2.87
2021,3,5,5,2.86
2021,3,5,10,2.85
2021,3,5,15,2.86
2021,3,5,20,2.92
2021,3,5,25,2.90
2021,3,5,30,2.76
2021,3,5,35,2.76
2021,3,5,40,2.78
2021,3,5,45,2.85
2021,3,5,50,2.85
2021,3,5,55,2.81
2021,3,6,0,2.82
2021,3,6,5,9999.99
2021,3,6,10,2.94
2021,3,6,15,2.94
2021,3,6,20,2.93
2021,3,6,25,9999.99
2021,3,6,30,2.95
2021,3,6,35,2.93
2021,3,6,40,2.81
2021,3,6,45,2.86
2021,3,6,50,2.84
2021,3,6,55,2.82
2021,3,7,0,2.78
2021,3,7,5,2.80
2021,3,7,10,2.76
2021,3,7,15,2.69
2021,3,7,20,2.65
2021,3,7,25,2.57
2021,3,7,30,2.40
2021,3,7,35,2.22
2021,3,7,40,2.42
2021,3,7,45,2.59
2021,3,7,50,2.54
2021,3,7,55,2.33
2021,3,8,0,2.04
2021,3,8,5,1.84
2021,3,8,10,2.50
2021,3,8,15,2.41
2021,3,8,20,2.53
2021,3,8,25,2.18
2021,3,8,30,2.12
2021,3,8,35,2.02
2021,3,8,40,1.67
2021,3,8,45,1.54
2021,3,8,50,1.29
2021,3,8,55,1.35
2021,3,9,0,1.30
2021,3,9,5,1.08
2021,3,9,10,0.95
2021,3,9,15,1.03
2021,3,9,20,0.97
2021,3,9,25,1.14
2021,3,9,30,1.52
2021,3,9,35,1.64
2021,3,9,40,1.66
2021,3,9,45,1.59
2021,3,9,50,1.60
2021,3,9,55,1.57
2021,3,10,0,1.41
2021,3,10,5,1.43
2021,3,10,10,1.58
2021,3,10,15,1.54
2021,3,10,20,1.75
2021,3,10,25,1.89
2021,3,10,30,2.03
2021,3,10,35,2.12
2021,3,10,40,2.12
2021,3,10,45,2.01
2021,3,10,50,1.74
2021,3,10,55,1.18
2021,3,11,0,0.16
2021,3,11,5,-0.06
2021,3,11,10,-0.38
2021,3,11,15,0.06
2021,3,11,20,0.59
2021,3,11,25,0.13
2021,3,11,30,0.38
2021,3,11,35,0.31
2021,3,11,40,-1.83
2021,3,11,45,-2.49
2021,3,11,50,-2.61
2021,3,11,55,-2.68
2021,3,12,0,-2.62
2021,3,12,5,-2.81
2021,3,12,10,-2.58
2021,3,12,15,-2.34
2021,3,12,20,-2.26
2021,3,12,25,-2.28
2021,3,12,30,-2.27
2021,3,12,35,-2.47
2021,3,12,40,-2.49
2021,3,12,45,-2.74
2021,3,12,50,-2.82
2021,3,12,55,-2.73
2021,3,13,0,-2.70
2021,3,13,5,-2.61
2021,3,13,10,-2.31
2021,3,13,15,-2.13
2021,3,13,20,-2.15
2021,3,13,25,-2.37
2021,3,13,30,-1.96
2021,3,13,35,-1.62
2021,3,13,40,-1.58
2021,3,13,45,-1.53
2021,3,13,50,-1.23
2021,3,13,55,-1.14
2021,3,14,0,-1.16
2021,3,14,5,-1.00
2021,3,14,10,-0.87
2021,3,14,15,-0.84
2021,3,14,20,-0.90
2021,3,14,25,-0.99
2021,3,14,30,-1.10
2021,3,14,35,-1.11
2021,3,14,40,-1.12
2021,3,14,45,-0.61
2021,3,14,50,-0.83
2021,3,14,55,-0.46
2021,3,15,0,-0.37
2021,3,15,5,-0.03
2021,3,15,10,-0.28
2021,3,15,15,-0.52
2021,3,15,20,-0.79
2021,3,15,25,-0.61
2021,3,15,30,-0.60
2021,3,15,35,-0.28
2021,3,15,40,0.09
2021,3,15,45,0.20
2021,3,15,50,0.25
2021,3,15,55,-0.05
2021,3,16,0,-0.29
2021,3,16,5,-0.59
2021,3,16,10,-1.61
2021,3,16,15,-1.96
2021,3,16,20,-2.04
2021,3,16,25,-1.76
2021,3,16,30,-1.66
2021,3,16,35,-1.57
2021,3,16,40,-1.41
2021,3,16,45,-1.51
2021,3,16,50,-1.58
2021,3,16,55,-1.87
2021,3,17,0,-1.45
2021,3,17,5,-1.08
2021,3,17,10,-1.49
2021,3,17,15,-1.56
2021,3,17,20,-1.83
2021,3,17,25,-1.94
2021,3,17,30,-1.96
2021,3,17,35,-1.98
2021,3,17,40,-1.99
2021,3,17,45,-2.07
2021,3,17,50,-2.14
2021,3,17,55,-2.26
2021,3,18,0,-2.46
2021,3,18,5,-2.15
2021,3,18,10,-2.09
2021,3,18,15,-2.17
2021,3,18,20,-2.15
2021,3,18,25,-2.13
2021,3,18,30,-2.42
2021,3,18,35,-2.16
2021,3,18,40,-1.80
2021,3,18,45,-1.94
2021,3,18,50,-1.80
2021,3,18,55,-1.55
2021,3,19,0,-1.35
2021,3,19,5,-1.32
2021,3,19,10,-1.40
2021,3,19,15,-1.43
2021,3,19,20,-1.33
2021,3,19,25,-0.90
2021,3,19,30,-0.66
2021,3,19,35,-0.68
2021,3,19,40,-0.73
2021,3,19,45,-1.21
2021,3,19,50,-1.45
2021,3,19,55,-1.83
2021,3,20,0,-1.39
2021,3,20,5,-1.40
2021,3,20,10,-1.80
2021,3,20,15,-2.61
2021,3,20,20,-2.46
2021,3,20,25,-2.31
2021,3,20,30,-2.52
2021,3,20,35,-2.20
2021,3,20,40,-1.99
2021,3,20,45,-2.29
2021,3,20,50,-2.17
2021,3,20,55,-2.24
2021,3,21,0,-2.79
2021,3,21,5,-2.15
2021,3,21,10,-2.14
2021,3,21,15,-2.04
2021,3,21,20,-2.06
2021,3,21,25,-2.07
2021,3,21,30,-2.17
2021,3,21,35,-2.19
2021,3,21,40,-2.23
2021,3,21,45,-2.23
2021,3,21,50,-2.41
2021,3,21,55,-2.37
2021,3,22,0,-2.26
2021,3,22,5,-2.17
2021,3,22,10,-2.27
2021,3,22,15,-2.21
2021,3,22,20,-1.96
2021,3,22,25,-2.19
2021,3,22,30,-2.43
2021,3,22,35,-2.15
2021,3,22,40,-1.87
2021,3,22,45,-1.55
2021,3,22,50,-1.48
2021,3,22,55,-1.07
2021,3,23,0,-1.08
2021,3,23,5,-1.16
2021,3,23,10,-1.23
2021,3,23,15,-1.25
2021,3,23,20,-1.60
2021,3,23,25,-1.81
2021,3,23,30,-1.32
2021,3,23,35,-0.99
2021,3,23,40,-0.97
2021,3,23,45,-1.06
2021,3,23,50,-1.12
2021,3,23,55,-0.93
2021,4,0,0,-0.84
2021,4,0,5,-0.67
2021,4,0,10,-0.93
2021,4,0,15,-0.72
2021,4,0,20,-0.68
2021,4,0,25,-0.22
2021,4,0,30,-0.40
2021,4,0,35,-0.26
2021,4,0,40,-0.10
2021,4,0,45,0.41
2021,4,0,50,0.37
2021,4,0,55,0.52
2021,4,1,0,0.61
2021,4,1,5,0.55
2021,4,1,10,0.13
2021,4,1,15,0.03
2021,4,1,20,0.85
2021,4,1,25,0.61
2021,4,1,30,-1.19
2021,4,1,35,-1.31
2021,4,1,40,-1.84
2021,4,1,45,-2.19
2021,4,1,50,-2.26
2021,4,1,55,-2.22
2021,4,2,0,-1.97
2021,4,2,5,-1.85
2021,4,2,10,-1.76
2021,4,2,15,-2.08
2021,4,2,20,-2.00
2021,4,2,25,-1.78
2021,4,2,30,-2.12
2021,4,2,35,-2.15
2021,4,2,40,-1.81
2021,4,2,45,-2.05
2021,4,2,50,-1.77
2021,4,2,55,-2.09
2021,4,3,0,-1.91
2021,4,3,5,-2.14
2021,4,3,10,-2.12
2021,4,3,15,-1.15
2021,4,3,20,-1.07
2021,4,3,25,-0.96
2021,4,3,30,-0.93
2021,4,3,35,-0.72
